question,answer,type
如何办理年龄及性别？,如果受保人的年龄或性别被错误填报在投保申请书，而未曾被更改，本公司将按照其正确年龄和性别，根据已缴交的保费 金额，重新厘定赔款和一切本保单应得的利益。有关受保人的年龄，须有认可的证明，本公司方会接纳。 当受保人的正确年龄和性别未能符合本公司的受保资格，本公司保留作废本保单的权利，如同本保单从未签发。 当本公司处理本保单的任何保障索偿或支付时，本公司有权要求令本公司满意的受保人年龄证明。,办理流程
什么是自杀？,"从本保单签发日起计一年内，如果受保人自杀身亡，不论事发时精神是否健全，本公司在本保单下的责任仅限于把已缴交
的保费，在扣除本公司对本保单支付的任何款项后退还。
从本保单的任何复效日起计一年内，如果受保人自杀身亡，不论事发时精神是否健全，本公司在本保单下的责任仅限于保
单复效前的责任，如同保单从未复效...（详见条款13）",定义解释
什么是不可异议条文？,"在受保人在世期间，从本保单签发日或复效日（以较晚者为准）起计两年后，如果发现保单持有人或受保人有任何漏报或
错误申报其所知悉（而未被其他人士披露）的对保险为重要的资料，除非是蓄意诈骗，否则本保单不会因此作废。有关漏
报或错误申报的资料可以包括投保申请书、健康证明文件或作为受保资格证明的任何书面说明或...（详见条款14）",定义解释
如何办理不可异议条文？,在受保人在世期间，从本保单签发日或复效日（以较晚者为准）起计两年后，如果发现保单持有人或受保人有任何漏报或 错误申报其所知悉（而未被其他人士披露）的对保险为重要的资料，除非是蓄意诈骗，否则本保单不会因此作废。有关漏 报或错误申报的资料可以包括投保申请书、健康证明文件或作为受保资格证明的任何书面说明或答复。本条款不适用于虚 报年龄和性别或任何附加保障。,办理流程
什么是身故赔偿或退保金额？,"本公司将根据以下最早出现的情况按照保单条款支付金额：收到受保人身故的认可证明（和其年龄证明文件，年岁已被接
纳者除外）；或在保单退保欲取回所有现金价值时。本公司支付金额时，收款人需出示保单并履行及依循由本公司厘定并
不时修订的索偿/退保（适用者为准）程序。在支付金额后，本保单和所有附加保障（如有）或...（详见条款15）",定义解释
什么是收款方式选择？,"除可选择整笔领取款项外，也可要求以其他方式领取任何因受保人身故或保单退保的利益金额。请向本公司查询有关以年
金或积存方式处理款项的条款和细则。
备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。
9-MGL-RP-SC (05/2022) 第9页

--...（详见条款16）",定义解释
什么是终期红利？,"终期红利将作为一次性红利在保单退保或受保人身故时给付，但在受保人身故的情况下当价值一低于价值二，终期红利将
不获给付。终期红利为非保证。终期红利的金额由本公司不定期加以修订和全权决定。本公司可能会随时更改或撤销终期
红利。...（详见条款17）",定义解释
什么是终期红利锁定权益？,"从终期红利锁定周年日起计31日内及受保人在世期间，保单持有人可选择将终期红利的最多50%转移为已锁定终期红利并
作为累积已锁定终期红利的一部分。但本保单内的终期红利锁定总百分比（「终期红利锁定总百分比」）不可超过50%。终
期红利的锁定将从终期红利锁定申请日期起计的六个月内生效。
保单持有人必须按本...（详见条款18）",定义解释
18. 终期红利锁定权益中规定的时间期限是多少？,31天,时间期限
如何办理终期红利锁定权益？,从终期红利锁定周年日起计31日内及受保人在世期间，保单持有人可选择将终期红利的最多50%转移为已锁定终期红利并 作为累积已锁定终期红利的一部分。但本保单内的终期红利锁定总百分比（「终期红利锁定总百分比」）不可超过50%。终 期红利的锁定将从终期红利锁定申请日期起计的六个月内生效。 保单持有人必须按本公司指定的书面格式递交申请行使终期红利锁定权益。保单持有人一旦递交申请行使此权益，该申请 将不可撤回,办理流程
什么是累积已锁定终期红利？,"任何根据「终期红利锁定权益」条款而锁定的终期红利将由本公司在保单内积存生息直至保单持有人要求支取。有关利率
为非保证并由本公司厘定并不时修订。本保单下的累积已锁定终期红利为所有累积已锁定终期红利加上利息和扣减保单持
有人的已提取金额的余额。
累积已锁定终期红利将在受保人身故时作为身故赔偿的一部分给付...（详见条款19）",定义解释
什么是现金价值？,"只要本保单拥有现金价值，保单持有人有权在受保人在世期间随时退保以取回现金价值。退保申请须采用本公司指定的书
面格式提交。现金价值款项将从退保申请日期起计的六个月内支付。本保单以及附加保障（如有）将在退保时终止。为免
存疑，无论本保单是否有现金价值，本保单在受保人身故或之后不可退保。
如果无欠缴保费，...（详见条款20）",定义解释
如何办理现金价值？,只要本保单拥有现金价值，保单持有人有权在受保人在世期间随时退保以取回现金价值。退保申请须采用本公司指定的书 面格式提交。现金价值款项将从退保申请日期起计的六个月内支付。本保单以及附加保障（如有）将在退保时终止。为免 存疑，无论本保单是否有现金价值，本保单在受保人身故或之后不可退保。 如果无欠缴保费，本保单的现金价值为表格所示现金价值加上任何累积已锁定终期红利及当时公司决定的任何终期红利。 现金价值,办理流程
什么是货币转换权益？,"在本保单生效并从货币转换周年日起计31日内及受保人在世期间，保单持有人可在保单无须退保的情况下按本公司规定的
指定格式递交申请，通过转换本保单的计划至在本公司独有和绝对酌情权下提供的指定计划（「新计划」），将本保单的货币
转换至以下「可供选择的新货币」部分内列明的其他货币（「新货币」）。保单持有人无...（详见条款21）",定义解释
21. 货币转换权益中规定的时间期限是多少？,31天,时间期限
如何办理货币转换权益？,在本保单生效并从货币转换周年日起计31日内及受保人在世期间，保单持有人可在保单无须退保的情况下按本公司规定的 指定格式递交申请，通过转换本保单的计划至在本公司独有和绝对酌情权下提供的指定计划（「新计划」），将本保单的货币 转换至以下「可供选择的新货币」部分内列明的其他货币（「新货币」）。保单持有人无须再提供受保资格证明。 为免存疑，新计划可能与本保单的计划相同或不同，也可能具有与计划不同的利益、计,办理流程
什么是保单复效？,"如果保单持有人并未退保，保单持有人可在以下情况发生后一年内提出复效申请。
(1) 因欠交保费而导致保单停止生效；或
(2) 因保单内的欠款相当于或超过保单的表格所示现金价值和任何累积已锁定终期红利的总和而导致本公司终止对保单的
一切责任。
本公司将在妥收以下各项后将保单复效：
(a) 本公司认可的受...（详见条款22）",定义解释
如何办理保单复效？,如果保单持有人并未退保，保单持有人可在以下情况发生后一年内提出复效申请。 (1) 因欠交保费而导致保单停止生效；或 (2) 因保单内的欠款相当于或超过保单的表格所示现金价值和任何累积已锁定终期红利的总和而导致本公司终止对保单的 一切责任。 本公司将在妥收以下各项后将保单复效： (a) 本公司认可的受保资格证明；及 (b) 所有逾期未缴交的保费连同利息（金额从每个到期日起以每年复利计算，年利率由本公,办理流程
什么是保单贷款？,"当受保人在世期间及只要保单拥有贷款价值，本公司将会提供贷款，并以本保单为唯一的贷款抵押。贷款金额以保单的贷
款价值扣除任何现有的欠款后的余额为限。在保费到期日或宽限期间的贷款价值将相当于保单的表格所示现金价值和任何
累积已锁定终期红利的某个百分比，比率由本公司不时厘定。在其他时间，保单的贷款价值（包...（详见条款23）",定义解释
什么是自动贷款代缴保费？,"本公司将自动提供贷款给保单持有人缴付任何所欠保费。如果扣除欠款后的贷款价值不足以按现行的缴付保费分期形式代
缴所欠保费，则本公司将有全权酌情改以本保单所允许的另一分期形式代缴所欠保费。如果保单的表格所示现金价值和任
何累积已锁定终期红利的总和在扣除欠款后少于一期的月缴保费，本公司在保单内的一切责任即...（详见条款24）",定义解释
什么是贷款规定？,"无论以「保单贷款」或「自动贷款代缴保费」下的形式借贷，均要支付利息，金额以每年复利计算，年利率由本公司不时
厘定。任何受让方、受益人或其他人就本保单提出索偿时，本公司可优先从赔款中扣除欠款。如果任何时间欠款相当于或
超过表格所示现金价值和任何累积已锁定终期红利的总和，本公司对保单的一切责任即告终止。...（详见条款25）",定义解释
什么是终止保单？,"遇有以下情况（以较早者为准），本保单即告终止，此后本公司无须再为本保单承担责任或作出任何其他赔偿：
(1) 如果保费在宽限期届满后仍未缴交，且未采用本公司的「自动贷款代缴保费」条款下的方式处理向本公司借贷缴付；
(2) 受保人身故后本公司根据本保单条款给予身故赔偿和意外身故赔偿（如适用）；
(3) ...（详见条款26）",定义解释
如何办理终止保单？,遇有以下情况（以较早者为准），本保单即告终止，此后本公司无须再为本保单承担责任或作出任何其他赔偿： (1) 如果保费在宽限期届满后仍未缴交，且未采用本公司的「自动贷款代缴保费」条款下的方式处理向本公司借贷缴付； (2) 受保人身故后本公司根据本保单条款给予身故赔偿和意外身故赔偿（如适用）； (3) 当欠款相当于或超过表格所示现金价值和任何累积已锁定终期红利的总和； (4) 保单退保，本公司已根据本,办理流程
什么是索偿通知及证明？,"受保人身故后，本公司认可的身故证明和索偿通知必须在合理时间内送交本公司，并待本公司批核后，方可给予身故赔偿
和／或意外身故赔偿（根据情况而定）。
备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。
14-MGL-RP-SC (05/2022) 第14页
...（详见条款27）",定义解释
什么是意外身故赔偿不受保项目？,"倘若因身体受伤而身故乃是直接或间接由于下列任何一项而导致，本公司将不会作出意外身故赔偿：
(1) 不论受保人在受伤或自杀时（根据情况而定）的精神是否健全，受保人蓄意自我伤害或自杀；
(2) 不论自愿与否，受保人服食、管理、吸收或吸入任何药物、毒药、令人醺醉的酒类、气体或烟雾。但受保人因职务附
带的危...（详见条款28）",定义解释
什么是第三者权利？,"如果本保单在香港特别行政区签发，任何不是本保单某一方的人士或实体，不能根据《合约（第三者权利）条例》（香港
法例第623 章）强制执行本保单的任何条款。
备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。
15-MGL-RP-SC (05/2022) 第...（详见条款29）",定义解释
如何办理第三者权利？,如果本保单在香港特别行政区签发，任何不是本保单某一方的人士或实体，不能根据《合约（第三者权利）条例》（香港 法例第623 章）强制执行本保单的任何条款。 备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。 15-MGL-RP-SC (05/2022) 第15页 --- ## 第 17 页 更改受保人条款 更改受保人条款附加于本保单内，为保单构成部分。 ,办理流程
